X_mm,Y_mm,Z_mm,Bx_mT,By_mT,Bz_mT,Magnitud_mT
30,50,10,-21.749028298410458,22.51062793186398,-26.60817636594591,41.082157335431596
35,50,10,-7.4946488518935865,0.20643782127847032,-5.441281499898423,9.26390427133079
40,50,10,4.993233177267982,-15.798219015986152,-27.279600192054314,31.916965524278243
45,50,10,-27.958339295159085,-9.131261489331646,-10.61967623652069,31.270212597587342
50,50,10,-20.68294250159842,-31.647362452455276,-11.3017003927608,39.45970213381282
55,50,10,-24.29255721090651,36.916862356482355,20.94227512429334,48.90359853297327
60,50,10,-1.7996612078583851,1.0802758350768187,-13.413717854364045,13.57695116804233
60,55,10,18.711122883722815,-2.8730993981779207,2.232916623901353,19.06165618121576
55,55,10,-8.406649092252636,4.5397948006318956,-15.516279117397922,18.221866080100448
50,55,10,-8.18308184225268,36.20931493810693,35.908391874189505,51.647748486399465
45,55,10,1.3600776842110847,39.99124248124494,-2.493021142950198,40.09194982686694
40,55,10,23.264855146120027,-31.074604084674196,-29.12374814665716,48.52913774320655
35,55,10,-34.9261539567642,27.210994313847067,-16.911406202194172,47.39483201252458
30,55,10,-28.783262768263064,2.878313834686452,12.460751881663697,31.49652748437852
25,55,10,13.621770204059011,-28.554024721472615,13.050110626878741,34.22265826408628
20,55,10,-18.521902342108962,36.38585477637386,16.645522339036525,44.0915491689434
20,60,10,-33.02424596783948,21.030045835707085,-39.01902830743375,55.27520438363498
25,60,10,30.342885720443277,20.093294219681,24.853543865982715,44.06960209873551
30,60,10,-25.58957832857147,35.25227915936813,9.83425456931893,44.657163679507065
35,60,10,30.582591172131515,-19.939141514678724,31.798464607678312,48.414941893488745
40,60,10,12.88426017118428,-6.577931164087033,0.3163344481958319,14.46974104956092
45,60,10,12.280347283313304,-22.82212748901398,-30.8163929260565,40.26545051898331
50,60,10,-1.6561279817120962,10.29368166223729,-9.86082626199206,14.350558756525208
55,60,10,19.30004026724704,-21.541743583923683,-37.45643759853139,47.323598643019004
60,60,10,35.98023991464443,21.219211574161527,14.263477365653173,44.13931796827974
