X_mm,Y_mm,Z_mm,Bx_mT,By_mT,Bz_mT,Magnitud_mT
50.0,60.0,13.0,0.0,0.0,0.098,0.098
45.0,60.0,13.0,-0.098,-0.098,0.0,0.13859292911256332
40.0,60.0,13.0,-0.098,0.0,0.098,0.13859292911256332
35.0,60.0,13.0,-0.098,-0.098,-0.196,0.24004999479275146
30.0,60.0,13.0,-0.098,0.0,0.0,0.098
25.0,60.0,13.0,-0.098,0.0,-0.098,0.13859292911256332
20.0,60.0,13.0,-0.196,0.0,-0.098,0.2191346617949794
15.0,60.0,13.0,-0.098,-0.098,0.0,0.13859292911256332
15.0,65.0,13.0,-0.196,0.0,0.0,0.196
20.0,65.0,13.0,-0.098,0.0,-0.196,0.2191346617949794
25.0,65.0,13.0,0.0,0.098,0.0,0.098
30.0,65.0,13.0,-0.196,-0.098,-0.098,0.24004999479275146
35.0,65.0,13.0,-0.196,0.0,-0.098,0.2191346617949794
40.0,65.0,13.0,0.098,-0.098,0.098,0.16974097914175
45.0,65.0,13.0,0.0,0.0,0.0,0.0
50.0,65.0,13.0,-0.098,-0.098,-0.098,0.16974097914175
55.0,65.0,13.0,-0.196,0.196,0.098,0.29400000000000004
55.0,70.0,13.0,-0.294,0.098,0.098,0.32502922945482915
50.0,70.0,13.0,-0.098,-0.196,0.0,0.2191346617949794
45.0,70.0,13.0,-0.098,-0.098,-0.098,0.16974097914175
40.0,70.0,13.0,0.0,0.196,0.0,0.196
35.0,70.0,13.0,0.0,0.098,0.0,0.098
30.0,70.0,13.0,0.0,-0.098,-0.098,0.13859292911256332
25.0,70.0,13.0,0.0,-0.196,-0.098,0.2191346617949794
20.0,70.0,13.0,-0.098,-0.196,-0.294,0.36668242390384626
15.0,70.0,13.0,-0.392,0.0,-0.196,0.4382693235899588
15.0,75.0,13.0,-0.196,-0.098,-0.098,0.24004999479275146
20.0,75.0,13.0,-0.196,0.0,0.0,0.196
25.0,75.0,13.0,-0.098,-0.098,-0.098,0.16974097914175
30.0,75.0,13.0,0.0,-0.196,-0.196,0.27718585822512665
35.0,75.0,13.0,-0.098,-0.196,0.0,0.2191346617949794
40.0,75.0,13.0,-0.098,0.0,0.0,0.098
45.0,75.0,13.0,-0.196,0.0,0.0,0.196
50.0,75.0,13.0,-0.196,0.0,0.0,0.196
55.0,75.0,13.0,0.0,0.0,-0.196,0.196
